time,wheel_rpm,velocity,acceleration,F_r
0.39,2.563476563,-0.010287073302853271,0.016802842063561294,
0.392,2.563476563,-0.008784152429861355,0.04770140162272348,
0.394,2.563476563,-0.007094533311963468,0.08158713309976946,
0.396,2.807617188,-0.005395579281850871,0.10865837863285326,
0.398,-0.8544921875,-0.0047981448975094,0.113512533004385,
0.4,-3.448486328,-0.004994178054630082,0.11108545581938381,
0.402,-3.051757813,-0.005068857352653647,0.10977856810320676,
0.404,-3.082275391,-0.005152871562891923,0.10903177512297106,
0.406,-3.112792969,-0.00524622068534491,0.1062313014493815,
0.408,-3.112792969,-0.005348904720318491,0.08961515763684393,
0.41,-3.112792969,-0.005451588755292074,0.07047858751409923,
0.412,-3.112792969,-0.0054702585797214934,0.05171541388606063,
0.414,-3.051757813,-0.00651576875220436,0.028471482375078672,
0.416,-3.387451172,-0.008429425764172946,0.00970830874398124,
0.418,-1.953125,-0.009782988040811843,-0.0034539175338193263,
0.42,2.563476563,-0.009773653128291248,-0.00317387016431918,
0.422,2.868652344,-0.009670969093317666,-0.0018669824481420704,
0.424,2.716064453,-0.009614959619723518,-0.0010268403457592867,
0.426,2.746582031,-0.009549615233914663,9.334912306477234e-05,
0.428,2.746582031,-0.009474935935891098,0.000840142103300407,
0.43,2.746582031,-0.009474935935891096,0.0015869350835360763,
0.432,2.746582031,-0.009176218743796833,0.018389777137308983,
0.434,2.746582031,-0.007533274187278381,0.05311565071979658,
0.436,2.685546875,-0.005740971034712799,0.07551944012839576,
0.438,3.082275391,-0.0038833234963383586,0.09185553657143317,
0.44,0.4272460938,-0.002819143499334306,0.1015638453169438,
0.442,-2.960205078,-0.0027911387623842897,0.1007237032176199,
0.444,-2.685546875,-0.0026791198151959977,0.10063035409853165,
0.446,-2.685546875,-0.0025671008680077058,0.10175054357041455,
0.448,-2.716064453,-0.0024737517455547197,0.09334912254261045,
0.45,-2.716064453,-0.0023523978861517175,0.0745859489145719,
0.452,-2.716064453,-0.002277718588128152,0.056662917388916066,
0.454,-2.716064453,-0.0035566015667434833,0.023990724502841277,
0.456,-2.685546875,-0.005330234894879647,-0.008401421013733363,
0.458,-2.685546875,-0.006991849275827518,-0.02716459464177193,
0.46,-2.9296875,-0.008746812779534261,-0.04676791037219328,
0.462,0.6103515625,-0.009418926461899298,-0.05572942613655061,
0.464,3.021240234,-0.009353582076396328,-0.05712966297793368,
0.466,2.624511719,-0.009409591549990475,-0.05965008928814084,
0.468,2.685546875,-0.009446931199155201,-0.0632907050702309,
0.47,2.685546875,-0.00947493593579933,-0.05768975771846347,
0.472,2.685546875,-0.009586954882987624,-0.04144701040063204,
0.474,2.685546875,-0.009353582076702217,-0.022963884139034763,
0.476,2.624511719,-0.00781332155485146,0.009334912258451648,
0.478,2.960205078,-0.006039688226715296,0.04200710514452646,
0.48,1.617431641,-0.0047328005111499484,0.057036313874445604,
0.482,-2.838134766,-0.004770140160314675,0.05619617177206286,
0.484,-3.143310547,-0.004900828931932386,0.05507598230323882,
0.486,-2.990722656,-0.0049848431421706625,0.05423584020085601,
0.488,-3.051757813,-0.005087527177144245,0.053955792831355875,
0.49,-3.051757813,-0.005199546124332537,0.05087527178520727,
0.492,-3.051757813,-0.005320899983735539,0.0346325244612581,
0.494,-3.051757813,-0.005330234896256135,0.017642984157073282,
0.496,-2.990722656,-0.00601168349065235,-0.006161042088014816,
0.498,-3.265380859,-0.00789733576567092,-0.030991908681615197,
0.5,-2.258300781,-0.00940959155057166,-0.04415413495941577,
0.502,2.44140625,-0.009484270848595225,-0.04415413495941577,
0.504,3.051757813,-0.009372251901406933,-0.0421938033851501,
0.506,2.838134766,-0.009325577340027497,-0.04079356654682587,
0.508,2.868652344,-0.009269567866433352,-0.039206631461148576,
0.51,2.868652344,-0.009194888568409786,-0.03743299813117709,
0.512,2.868652344,-0.009241563129483335,-0.03771304549761839,
0.514,2.868652344,-0.008690803306368356,-0.02175034554163995,
0.516,2.868652344,-0.006823820855779207,0.016056049083937377,
0.518,2.807617188,-0.004975508229619478,0.048074798111923604,
0.52,3.234863281,-0.003015176656577343,0.06758476471713898,
0.522,0.6103515625,-0.00184831262499736,0.07822656468320298,
0.524,-2.990722656,-0.0017829682391885043,0.07831991380535007,
0.526,-2.716064453,-0.001633609643141372,0.07916005590773284,
0.528,-2.716064453,-0.0014842510470942404,0.07990684888796849,
0.53,-2.746582031,-0.0013535622754765283,0.0812137366041456,
0.532,-2.746582031,-0.0012135385916441064,0.0796268015215272,
0.534,-2.746582031,-0.0010361752586469583,0.06497098928631416,
0.536,-2.746582031,-0.002137694904418085,0.036032761302947094,
0.538,-2.716064453,-0.0039206631447689586,-0.0003733964843060056,
0.54,-2.685546875,-0.00556360770128741,-0.02744464201953102,
0.542,-3.082275391,-0.007346575941638284,-0.045554371792539905,
0.544,-0.4577636719,-0.00832674172812876,-0.056476219129327584,
0.546,2.899169922,-0.008280067166749325,-0.05712966298741615,
0.548,2.624511719,-0.008317406815608165,-0.05843655070053441,
0.55,2.624511719,-0.008354746464467006,-0.06002348578315284,
0.552,2.624511719,-0.008373416288896424,-0.060956977007682676,
0.554,2.624511719,-0.008504105060514138,-0.049475034937706525,
0.556,2.624511719,-0.00810270383344629,-0.027724689385666423,
0.558,2.593994141,-0.00645975927692784,0.005320899988996763,
0.56,2.716064453,-0.0047701401590299515,0.039766726205043054,
0.562,2.502441406,-0.003164535251676227,0.06254391210223063,
0.564,-1.861572266,-0.0028844878843172694,0.06469094192079067,
0.566,-3.326416016,-0.003052516305099708,0.06357075244890777,
0.568,-2.990722656,-0.003117860690908564,0.06329070508246647,
0.57,-3.051757813,-0.003201874901452726,0.06273061034346615,
0.572,-3.051757813,-0.0032858891119968885,0.06301065770990745,
0.574,-3.051757813,-0.0033885731469704707,0.059650089297317556,
0.576,-3.051757813,-0.0034259127961351965,0.04387408758716274,
0.578,-3.021240234,-0.003649950690205894,0.023897375365094155,
