"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.104	-47.60742188	12.81738281	-75.68359375	-6.225585938	0	-2.014160156	0	330.2819824	0.3021240234	0.1800537109	0.6256103516
0.106	-43.9453125	19.53125	-69.58007813	-6.408691406	0	-2.197265625	0	330.2819824	0.2319335938	0.09765625	0.6134033203
0.108	-32.95898438	17.08984375	-91.55273438	-5.310058594	-0.1831054688	-2.197265625	0	330.2819824	0.244140625	0.1037597656	0.7598876953
0.11	-21.97265625	15.86914063	-120.8496094	-4.211425781	-0.1831054688	-1.647949219	0	330.2819824	0.2777099609	0.07934570313	1.010131836
0.112	-15.86914063	14.6484375	-141.6015625	-2.380371094	-0.1831054688	-1.098632813	0	330.2819824	0.2685546875	-0.003051757813	1.239013672
0.114	-15.86914063	8.544921875	-141.6015625	-1.647949219	-0.3662109375	-1.098632813	0	330.2819824	0.2258300781	-0.048828125	1.315307617
0.116	-20.75195313	2.44140625	-130.6152344	-1.647949219	-0.1831054688	-1.281738281	0	330.2819824	0.1953125	-0.003051757813	1.226806641
0.118	-28.07617188	9.155273438	-120.8496094	-2.014160156	-0.1831054688	-1.46484375	0	330.2819824	0.1525878906	-0.1098632813	1.058959961
0.12	-34.1796875	17.70019531	-113.5253906	-3.295898438	-0.1831054688	-1.831054688	0	330.2819824	0.1739501953	-0.2380371094	0.9307861328
0.122	-39.0625	16.47949219	-104.9804688	-4.577636719	-0.1831054688	-1.647949219	0	330.2819824	0.3326416016	-0.2105712891	0.8666992188
0.124	-39.0625	9.155273438	-96.43554688	-5.676269531	-0.1831054688	-0.5493164063	0	330.2819824	0.5157470703	0.02136230469	0.8544921875
0.126	-34.1796875	7.934570313	-96.43554688	-6.225585938	-0.1831054688	1.098632813	0	330.2819824	0.5981445313	0.1892089844	0.9490966797
0.128	-25.63476563	17.70019531	-93.99414063	-6.408691406	0	2.197265625	0	330.2819824	0.5096435547	0.1312255859	0.9765625
0.13	-14.6484375	25.63476563	-101.3183594	-5.126953125	-0.3662109375	3.295898438	0	330.2819824	0.2868652344	0.03356933594	0.8941650391
0.132	-1.220703125	29.296875	-114.7460938	-3.479003906	-0.5493164063	4.577636719	0	330.2819824	0.1068115234	-0.03662109375	0.8941650391
