"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.166	-78.125	226.4404297	653.0761719	-82.21435547	-51.63574219	-4.39453125	-3.41796875	156.3793945	-0.1983642578	-0.05187988281	1.370239258
0.168	-93.99414063	230.7128906	659.1796875	-82.21435547	-51.81884766	-2.9296875	-3.845214844	156.4343262	-0.003051757813	-0.1312255859	1.245117188
0.17	-101.3183594	229.4921875	665.2832031	-80.93261719	-51.45263672	-0.5493164063	-0.8544921875	156.4782715	0.01220703125	-0.1220703125	0.9368896484
0.172	-109.8632813	225.2197266	670.1660156	-79.65087891	-50.35400391	2.197265625	2.899169922	156.5332031	-0.01525878906	-0.06713867188	0.7873535156
0.174	-120.8496094	219.1162109	672.6074219	-79.28466797	-49.25537109	5.676269531	2.563476563	156.5991211	0.05187988281	0.01220703125	0.8850097656
0.176	-125.7324219	220.3369141	676.2695313	-79.28466797	-47.42431641	8.422851563	2.593994141	156.6210938	0.2471923828	0.03356933594	0.9613037109
0.178	-126.953125	226.4404297	679.9316406	-79.1015625	-45.59326172	10.25390625	2.593994141	156.6101074	0.4486083984	-0.01831054688	0.8422851563
0.18	-126.953125	227.0507813	676.2695313	-78.00292969	-43.21289063	10.62011719	2.593994141	156.6210938	0.5767822266	0	0.6500244141
0.182	-124.5117188	232.5439453	670.1660156	-77.63671875	-41.19873047	10.07080078	2.593994141	156.5771484	0.6530761719	-0.02746582031	0.6317138672
0.184	-117.1875	238.0371094	659.1796875	-77.81982422	-39.36767578	9.704589844	2.593994141	156.5222168	0.6744384766	-0.1190185547	0.8209228516
0.186	-102.5390625	233.7646484	651.8554688	-78.18603516	-37.90283203	9.338378906	2.563476563	156.4562988	0.68359375	-0.08544921875	1.089477539
0.188	-84.22851563	233.1542969	648.1933594	-78.55224609	-36.80419922	8.239746094	2.807617188	156.3793945	0.5676269531	-0.05493164063	1.211547852
0.19	-74.46289063	231.9335938	646.9726563	-78.91845703	-35.88867188	5.859375	1.922607422	156.3354492	0.3662109375	-0.08239746094	1.14440918
0.192	-67.13867188	234.9853516	651.8554688	-79.83398438	-35.52246094	3.845214844	-2.349853516	156.2805176	0.2014160156	-0.1647949219	1.019287109
0.194	-56.15234375	233.1542969	657.9589844	-80.56640625	-35.70556641	2.380371094	-2.960205078	156.2585449	0.08239746094	-0.2258300781	0.9643554688
0.196	-40.28320313	228.2714844	654.296875	-80.74951172	-36.43798828	2.014160156	-2.746582031	156.192627	0.01220703125	-0.1647949219	1.016235352
0.198	-23.19335938	220.9472656	646.9726563	-80.56640625	-37.53662109	2.197265625	-2.807617188	156.1706543	-0.1251220703	-0.048828125	1.083374023
0.2	-9.765625	216.0644531	643.3105469	-79.65087891	-38.63525391	2.014160156	-2.807617188	156.1706543	-0.390625	0.06408691406	1.123046875
0.202	1.220703125	212.4023438	642.0898438	-78.91845703	-39.73388672	2.014160156	-2.807617188	156.2036133	-0.5798339844	0.1586914063	1.065063477
0.204	9.765625	214.84375	639.6484375	-79.46777344	-40.83251953	2.197265625	-2.807617188	156.2585449	-0.6042480469	0.1434326172	1.071166992
0.206	2.44140625	219.1162109	633.5449219	-80.38330078	-41.74804688	1.647949219	-2.807617188	156.2805176	-0.4791259766	0.09155273438	1.150512695
