"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.114	-172.1191406	194.0917969	714.1113281	-71.96044922	-70.49560547	-10.43701172	-2.960205078	68.17016602	-0.2777099609	-0.02746582031	1.300048828
0.116	-194.0917969	201.4160156	716.5527344	-71.96044922	-70.3125	-8.422851563	1.434326172	68.25805664	-0.04577636719	-0.1617431641	1.153564453
0.118	-207.5195313	195.9228516	725.0976563	-71.41113281	-69.58007813	-4.760742188	3.143310547	68.32397461	0.1312255859	-0.1129150391	0.9796142578
0.12	-217.2851563	192.8710938	736.0839844	-71.41113281	-68.48144531	-0.3662109375	2.777099609	68.37890625	0.2197265625	-0.09155273438	0.8941650391
0.122	-224.609375	192.8710938	742.1875	-71.59423828	-67.19970703	3.112792969	2.838134766	68.36791992	0.2960205078	-0.1129150391	0.8941650391
0.124	-228.2714844	194.7021484	740.9667969	-71.59423828	-65.73486328	6.225585938	2.838134766	68.36791992	0.4577636719	-0.1770019531	0.8850097656
0.126	-225.8300781	186.7675781	734.8632813	-70.86181641	-64.08691406	8.422851563	2.838134766	68.37890625	0.6469726563	-0.07019042969	0.78125
0.128	-219.7265625	191.0400391	728.7597656	-70.3125	-62.62207031	8.7890625	2.838134766	68.35693359	0.7965087891	-0.02746582031	0.7385253906
0.13	-217.2851563	198.9746094	722.65625	-70.67871094	-61.34033203	7.690429688	2.838134766	68.29101563	0.8453369141	-0.08239746094	0.8819580078
0.132	-207.5195313	199.5849609	715.3320313	-71.04492188	-60.24169922	6.408691406	2.868652344	68.21411133	0.8270263672	-0.05798339844	1.080322266
0.134	-190.4296875	197.7539063	711.6699219	-71.59423828	-59.69238281	4.39453125	3.021240234	68.13720703	0.7232666016	-0.0244140625	1.202392578
0.136	-173.3398438	201.4160156	716.5527344	-72.32666016	-59.32617188	1.46484375	-0.8850097656	68.06030273	0.4608154297	-0.1098632813	1.150512695
0.138	-163.5742188	197.1435547	716.5527344	-72.50976563	-59.50927734	-1.46484375	-3.204345703	67.99438477	0.1647949219	-0.1342773438	1.034545898
0.14	-152.5878906	200.1953125	715.3320313	-73.42529297	-60.05859375	-3.845214844	-2.777099609	67.93945313	-0.03662109375	-0.1922607422	0.9948730469
0.142	-135.4980469	197.7539063	717.7734375	-74.70703125	-60.79101563	-5.126953125	-2.838134766	67.91748047	-0.1861572266	-0.1983642578	1.068115234
0.144	-117.1875	186.7675781	720.2148438	-74.70703125	-61.88964844	-5.676269531	-2.868652344	67.8515625	-0.3509521484	-0.04272460938	1.098632813
0.146	-101.3183594	180.6640625	717.7734375	-74.34082031	-62.98828125	-5.676269531	-2.868652344	67.84057617	-0.5889892578	0.09155273438	1.07421875
0.148	-89.11132813	180.6640625	715.3320313	-73.60839844	-64.27001953	-5.676269531	-2.868652344	67.86254883	-0.7415771484	0.1342773438	1.010131836
0.15	-75.68359375	183.7158203	711.6699219	-73.42529297	-65.18554688	-4.39453125	-2.868652344	67.91748047	-0.7568359375	0.1068115234	1.016235352
0.152	-69.58007813	187.9882813	704.3457031	-73.42529297	-66.28417969	-3.112792969	-2.868652344	67.96142578	-0.6256103516	0.05187988281	1.104736328
0.154	-90.33203125	183.1054688	701.9042969	-74.15771484	-67.01660156	-3.112792969	-2.807617188	68.03833008	-0.4486083984	0.06713867188	1.214599609
0.156	-130.6152344	179.4433594	710.4492188	-75.25634766	-67.56591797	-3.295898438	-3.051757813	68.11523438	-0.2136230469	0.09155273438	1.223754883
0.158	-170.8984375	178.2226563	723.8769531	-75.62255859	-68.11523438	-3.295898438	-2.227783203	68.203125	0.05187988281	0.06103515625	1.141357422
0.16	-196.5332031	180.6640625	737.3046875	-75.07324219	-68.29833984	-1.647949219	2.014160156	68.26904297	0.3021240234	0.006103515625	0.9307861328
0.162	-220.9472656	182.4951172	740.9667969	-73.97460938	-68.29833984	-0.1831054688	2.655029297	68.31298828	0.4302978516	-0.07629394531	0.7904052734
0.164	-250.2441406	187.9882813	742.1875	-73.05908203	-67.93212891	0.5493164063	2.44140625	68.36791992	0.4241943359	-0.08850097656	0.8392333984
0.166	-268.5546875	202.6367188	743.4082031	-71.96044922	-67.19970703	1.46484375	2.471923828	68.36791992	0.3356933594	-0.2258300781	0.9185791016
0.168	-274.6582031	208.7402344	740.9667969	-70.3125	-66.65039063	2.197265625	2.471923828	68.37890625	0.4211425781	-0.1892089844	0.9368896484
0.17	-266.1132813	209.9609375	736.0839844	-69.03076172	-66.10107422	3.295898438	2.471923828	68.35693359	0.6652832031	-0.1007080078	0.8972167969
0.172	-250.2441406	216.0644531	729.9804688	-67.93212891	-65.36865234	4.028320313	2.44140625	68.2800293	0.8117675781	-0.09460449219	0.927734375
0.174	-227.0507813	213.6230469	727.5390625	-68.11523438	-64.81933594	4.760742188	2.655029297	68.203125	0.8056640625	-0.07934570313	0.9948730469
0.176	-197.7539063	213.6230469	729.9804688	-69.39697266	-64.63623047	4.760742188	1.983642578	68.11523438	0.5981445313	-0.1831054688	1.089477539
0.178	-174.5605469	200.8056641	725.0976563	-70.3125	-64.63623047	3.479003906	-2.563476563	68.03833008	0.3295898438	-0.1556396484	1.126098633
