"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.136,-245.3613281,245.9716797,718.9941406,-80.38330078,-79.46777344,2.197265625,-4.852294922,132.5390625,0.3479003906,-0.07019042969,0.6774902344
0.138,-252.6855469,250.2441406,714.1113281,-79.83398438,-79.1015625,2.014160156,-4.852294922,132.5280762,0.4852294922,-0.07629394531,0.6958007813
0.14,-261.2304688,249.6337891,709.2285156,-80.01708984,-78.91845703,1.098632813,-4.852294922,132.5390625,0.634765625,-0.04577636719,0.8514404297
0.142,-268.5546875,249.0234375,705.5664063,-80.38330078,-79.1015625,0,-4.852294922,132.5061035,0.7171630859,-0.03967285156,1.04675293
0.144,-267.3339844,251.4648438,704.3457031,-80.74951172,-79.46777344,-0.9155273438,-4.852294922,132.4401855,0.6317138672,-0.1342773438,1.080322266
0.146,-260.0097656,251.4648438,708.0078125,-81.11572266,-80.01708984,-1.831054688,-4.852294922,132.3962402,0.4547119141,-0.1922607422,0.9735107422
0.148,-249.0234375,248.4130859,710.4492188,-81.48193359,-80.74951172,-2.014160156,-4.852294922,132.3303223,0.2960205078,-0.2349853516,0.9033203125
0.15,-236.8164063,239.8681641,712.890625,-82.03125,-81.48193359,-2.197265625,-4.852294922,132.2753906,0.1434326172,-0.1495361328,0.927734375
0.152,-222.1679688,237.4267578,709.2285156,-82.58056641,-82.39746094,-2.197265625,-4.852294922,132.2644043,0.03967285156,-0.1159667969,1.062011719
0.154,-202.6367188,236.2060547,703.125,-82.21435547,-83.12988281,-2.563476563,-4.852294922,132.2753906,-0.08544921875,-0.09155273438,1.147460938
0.156,-179.4433594,234.375,693.359375,-80.93261719,-83.86230469,-2.746582031,-4.852294922,132.220459,-0.2471923828,-0.03356933594,1.080322266
0.158,-158.6914063,225.8300781,687.2558594,-80.38330078,-84.04541016,-2.563476563,-4.852294922,132.1765137,-0.3692626953,0.1159667969,1.077270508
0.16,-144.0429688,230.1025391,686.0351563,-81.11572266,-84.22851563,-3.295898438,-4.852294922,132.1984863,-0.4638671875,0.07934570313,1.171875
0.162,-150.1464844,230.7128906,688.4765625,-82.58056641,-84.04541016,-5.126953125,-4.852294922,132.2644043,-0.48828125,0.03662109375,1.306152344
