"Time","RR_Fx","RR_Fy","RR_Fz","RR_Mx","RR_My","RR_Mz","RR_Wheel,Speed","RR_Position","RR_Ax","RR_Ay","RR_Az"
0.112,-173.3398438,213.0126953,708.0078125,-82.94677734,-63.72070313,0.5493164063,0,241.7871094,0.2960205078,-0.03356933594,0.8880615234
0.114,-185.546875,214.84375,711.6699219,-83.12988281,-62.62207031,2.563476563,0,241.7871094,0.4669189453,-0.03967285156,0.8361816406
0.116,-189.2089844,216.6748047,715.3320313,-82.76367188,-61.5234375,3.479003906,0,241.7651367,0.5157470703,-0.0732421875,0.7843017578
0.118,-186.7675781,216.0644531,714.1113281,-81.84814453,-60.42480469,3.479003906,0,241.6992188,0.4852294922,-0.01220703125,0.6988525391
0.12,-178.2226563,222.7783203,706.7871094,-80.93261719,-59.87548828,3.295898438,0,241.6882324,0.48828125,-0.02746582031,0.7049560547
0.122,-168.4570313,222.1679688,699.4628906,-80.93261719,-59.50927734,2.380371094,0,241.6333008,0.5187988281,-0.03356933594,0.8575439453
0.124,-162.3535156,217.8955078,692.1386719,-81.11572266,-59.50927734,0.732421875,0,241.5563965,0.5065917969,0.04577636719,1.028442383
0.126,-156.25,223.3886719,689.6972656,-82.03125,-60.05859375,-0.732421875,0,241.4794922,0.4119873047,-0.01831054688,1.126098633
0.128,-148.9257813,226.4404297,688.4765625,-82.94677734,-60.60791016,-2.197265625,0,241.4245605,0.2502441406,-0.1556396484,1.123046875
0.13,-144.0429688,221.5576172,692.1386719,-83.49609375,-61.34033203,-3.662109375,0,241.4355469,0.05798339844,-0.1556396484,1.025390625
0.132,-139.1601563,216.0644531,697.0214844,-84.04541016,-62.25585938,-4.028320313,0,241.4355469,-0.06713867188,-0.146484375,0.9613037109
0.134,-130.6152344,208.7402344,697.0214844,-84.41162109,-63.35449219,-3.662109375,0,241.4355469,-0.1525878906,-0.07934570313,1.00402832
0.136,-123.2910156,204.4677734,695.8007813,-84.04541016,-64.453125,-3.295898438,0,241.4355469,-0.1922607422,0.048828125,1.04675293
0.138,-118.4082031,206.9091797,697.0214844,-83.86230469,-65.55175781,-3.112792969,0,241.4355469,-0.2410888672,0.07629394531,1.016235352
0.14,-108.6425781,213.0126953,698.2421875,-82.76367188,-66.46728516,-2.014160156,0,241.4245605,-0.2777099609,0.01831054688,0.9521484375
0.142,-90.33203125,217.8955078,690.9179688,-81.84814453,-66.83349609,-0.5493164063,0,241.4575195,-0.2868652344,0,0.9124755859
0.144,-81.78710938,215.4541016,681.1523438,-81.66503906,-66.83349609,-0.1831054688,0,241.5234375,-0.3021240234,0.08544921875,1.013183594
0.146,-97.65625,213.6230469,681.1523438,-82.76367188,-66.65039063,-1.46484375,0,241.5893555,-0.3082275391,0.09155273438,1.181030273
0.148,-131.8359375,209.9609375,690.9179688,-84.22851563,-66.10107422,-3.662109375,0,241.6552734,-0.1800537109,0.07629394531,1.217651367
0.15,-158.6914063,203.2470703,703.125,-84.77783203,-65.55175781,-4.577636719,0,241.6992188,0.09765625,0.07934570313,1.034545898
0.152,-174.5605469,203.2470703,710.4492188,-84.59472656,-65.00244141,-4.39453125,0,241.6882324,0.3509521484,0.006103515625,0.7843017578
0.154,-191.6503906,203.8574219,714.1113281,-83.86230469,-64.27001953,-4.211425781,0,241.6882324,0.3784179688,-0.0732421875,0.6683349609
0.156,-208.7402344,209.3505859,715.3320313,-84.04541016,-63.35449219,-3.662109375,0,241.6882324,0.244140625,-0.146484375,0.8056640625
0.158,-217.2851563,213.0126953,714.1113281,-83.67919922,-62.80517578,-2.197265625,0,241.6882324,0.1983642578,-0.09460449219,0.9826660156
0.16,-206.2988281,225.8300781,710.4492188,-82.58056641,-62.62207031,0.3662109375,0,241.6992188,0.3540039063,-0.1220703125,1.034545898
0.162,-187.9882813,225.8300781,704.3457031,-80.74951172,-62.43896484,2.563476563,0,241.6882324,0.5920410156,-0.04577636719,0.9338378906
0.164,-172.1191406,227.0507813,705.5664063,-79.65087891,-62.62207031,4.211425781,0,241.6223145,0.6744384766,0.03967285156,0.8697509766
0.166,-159.9121094,237.4267578,710.4492188,-80.01708984,-62.62207031,4.028320313,0,241.5344238,0.5187988281,-0.05493164063,0.9552001953
0.168,-155.0292969,242.3095703,710.4492188,-80.56640625,-62.80517578,2.563476563,0,241.4575195,0.3295898438,-0.2410888672,1.04675293
0.17,-152.5878906,231.9335938,706.7871094,-81.29882813,-63.90380859,1.46484375,0,241.4245605,0.3814697266,-0.1922607422,1.07421875
0.172,-150.1464844,220.3369141,710.4492188,-83.12988281,-64.81933594,0.3662109375,0,241.4355469,0.4272460938,-0.09155273438,1.016235352
0.174,-144.0429688,209.3505859,718.9941406,-84.59472656,-65.91796875,-0.732421875,0,241.4355469,0.3082275391,-0.003051757813,0.9948730469
0.176,-131.8359375,205.078125,720.2148438,-85.69335938,-66.65039063,-2.014160156,0,241.4355469,-0.1068115234,0.006103515625,0.9857177734
0.178,-119.6289063,202.0263672,715.3320313,-86.24267578,-67.19970703,-3.845214844,0,241.4245605,-0.5645751953,0.01220703125,1.025390625
0.18,-112.3046875,199.5849609,709.2285156,-85.69335938,-67.19970703,-5.676269531,0,241.4465332,-0.7537841797,0.05493164063,1.080322266
0.182,-111.0839844,196.5332031,700.6835938,-84.41162109,-67.3828125,-6.958007813,0,241.5014648,-0.5767822266,0.1312255859,1.113891602
0.184,-113.5253906,197.1435547,695.8007813,-84.41162109,-67.19970703,-7.141113281,0,241.5563965,-0.2349853516,0.2044677734,1.205444336
0.186,-120.8496094,208.7402344,695.8007813,-84.77783203,-66.83349609,-7.32421875,0,241.6113281,-0.08544921875,0.09765625,1.260375977
0.188,-131.8359375,217.8955078,694.5800781,-84.59472656,-66.28417969,-6.774902344,0,241.6772461,-0.08239746094,-0.01831054688,1.239013672
0.19,-140.3808594,219.7265625,695.8007813,-84.04541016,-65.36865234,-4.577636719,0,241.6992188,-0.08850097656,-0.07629394531,1.113891602
0.192,-152.5878906,214.84375,701.9042969,-83.67919922,-64.63623047,-2.014160156,0,241.7651367,0,-0.03051757813,1.013183594
0.194,-169.6777344,213.0126953,708.0078125,-83.31298828,-63.90380859,0,0,241.7871094,0.2044677734,-0.0244140625,0.9490966797
0.196,-184.3261719,214.2333984,712.890625,-83.31298828,-63.17138672,2.197265625,0,241.776123,0.4028320313,-0.04577636719,0.8666992188
0.198,-190.4296875,216.0644531,717.7734375,-82.94677734,-62.07275391,3.662109375,0,241.7871094,0.5523681641,-0.03967285156,0.7568359375
0.2,-189.2089844,217.2851563,717.7734375,-82.03125,-61.15722656,4.028320313,0,241.7541504,0.5584716797,-0.01831054688,0.6469726563
0.202,-184.3261719,223.3886719,711.6699219,-81.29882813,-60.60791016,3.662109375,0,241.6992188,0.5096435547,-0.03967285156,0.6561279297
0.204,-179.4433594,225.2197266,704.3457031,-81.11572266,-60.24169922,2.746582031,0,241.6662598,0.5401611328,-0.048828125,0.8026123047
0.206,-172.1191406,221.5576172,697.0214844,-81.48193359,-60.42480469,1.281738281,0,241.5783691,0.5798339844,0.03356933594,1.013183594
0.208,-162.3535156,226.4404297,693.359375,-82.03125,-60.97412109,0,0,241.5124512,0.5065917969,-0.01525878906,1.095581055
0.21,-156.25,227.6611328,693.359375,-82.58056641,-61.5234375,-1.647949219,0,241.4355469,0.3173828125,-0.1190185547,1.052856445
0.212,-151.3671875,221.5576172,694.5800781,-83.12988281,-62.25585938,-3.295898438,0,241.4245605,0.0732421875,-0.1251220703,0.9765625
0.214,-142.8222656,221.5576172,699.4628906,-84.59472656,-63.17138672,-4.028320313,0,241.4355469,-0.0732421875,-0.1800537109,1.000976563
0.216,-133.0566406,214.2333984,699.4628906,-84.77783203,-64.27001953,-4.028320313,0,241.4355469,-0.1831054688,-0.1373291016,1.058959961
0.218,-125.7324219,206.2988281,695.8007813,-84.41162109,-65.55175781,-3.845214844,0,241.4355469,-0.2258300781,-0.006103515625,1.065063477
0.22,-118.4082031,204.4677734,697.0214844,-84.22851563,-66.46728516,-3.662109375,0,241.4355469,-0.2624511719,0.09765625,1.016235352
0.222,-108.6425781,210.5712891,698.2421875,-83.31298828,-67.01660156,-2.9296875,0,241.4245605,-0.3265380859,0.08544921875,0.9796142578
0.224,-91.55273438,214.84375,693.359375,-82.76367188,-67.19970703,-1.46484375,0,241.4465332,-0.3570556641,0.04272460938,1.013183594
0.226,-85.44921875,214.2333984,682.3730469,-82.39746094,-67.19970703,-0.9155273438,0,241.5124512,-0.3356933594,0.0732421875,1.07421875
0.228,-100.0976563,213.0126953,682.3730469,-83.31298828,-66.83349609,-1.831054688,0,241.5783691,-0.2899169922,0.08544921875,1.196289063
0.23,-130.6152344,210.5712891,692.1386719,-84.41162109,-66.10107422,-3.479003906,0,241.6662598,-0.1373291016,0.05493164063,1.193237305
0.232,-157.4707031,202.6367188,704.3457031,-84.77783203,-65.36865234,-4.211425781,0,241.6992188,0.1068115234,0.08850097656,1.022338867
0.234,-170.8984375,200.8056641,711.6699219,-84.77783203,-64.63623047,-3.662109375,0,241.7102051,0.3387451172,0.0732421875,0.8178710938
0.236,-186.7675781,206.2988281,714.1113281,-84.22851563,-63.90380859,-3.295898438,0,241.776123,0.3662109375,-0.04577636719,0.7232666016
0.238,-203.8574219,213.6230469,716.5527344,-83.86230469,-62.98828125,-2.9296875,0,241.7871094,0.2685546875,-0.1342773438,0.7751464844
0.24,-211.1816406,219.7265625,714.1113281,-83.12988281,-62.43896484,-1.647949219,0,241.7871094,0.2136230469,-0.1312255859,0.87890625
0.242,-201.4160156,227.6611328,710.4492188,-82.03125,-62.25585938,0.732421875,0,241.7541504,0.3875732422,-0.1190185547,0.9521484375
0.244,-186.7675781,223.9990234,704.3457031,-80.56640625,-62.25585938,2.380371094,0,241.6992188,0.5981445313,0.01831054688,0.9216308594
0.246,-174.5605469,228.2714844,705.5664063,-80.38330078,-62.25585938,3.479003906,0,241.6442871,0.6439208984,0.04577636719,0.927734375
0.248,-164.7949219,238.0371094,709.2285156,-80.56640625,-62.43896484,3.112792969,0,241.5563965,0.4943847656,-0.08850097656,0.9887695313
0.25,-157.4707031,239.8681641,709.2285156,-80.93261719,-62.98828125,1.831054688,0,241.4794922,0.3479003906,-0.2380371094,1.025390625
0.252,-155.0292969,228.8818359,705.5664063,-81.66503906,-63.90380859,1.098632813,0,241.4245605,0.3509521484,-0.1678466797,1.04675293
0.254,-152.5878906,216.6748047,710.4492188,-83.49609375,-64.81933594,0,0,241.4355469,0.3723144531,-0.06408691406,1.022338867
0.256,-144.0429688,208.1298828,717.7734375,-85.14404297,-65.73486328,-0.9155273438,0,241.4355469,0.2166748047,0.009155273438,1.025390625
0.258,-131.8359375,205.078125,717.7734375,-85.87646484,-66.46728516,-2.014160156,0,241.4355469,-0.1525878906,0.01831054688,1.022338867
0.26,-120.8496094,203.2470703,714.1113281,-85.87646484,-67.01660156,-3.662109375,0,241.4245605,-0.5065917969,0.003051757813,1.040649414
0.262,-113.5253906,203.2470703,708.0078125,-85.32714844,-67.19970703,-5.126953125,0,241.4245605,-0.6378173828,0.0244140625,1.080322266
0.264,-111.0839844,200.8056641,698.2421875,-84.22851563,-67.3828125,-6.225585938,0,241.4904785,-0.4974365234,0.1098632813,1.132202148
0.266,-112.3046875,199.5849609,693.359375,-84.04541016,-67.19970703,-6.408691406,0,241.5234375,-0.2319335938,0.2197265625,1.208496094
0.268,-118.4082031,209.3505859,693.359375,-84.22851563,-66.83349609,-6.591796875,0,241.5783691,-0.1098632813,0.1342773438,1.254272461
0.27,-129.3945313,217.2851563,693.359375,-84.22851563,-66.28417969,-6.225585938,0,241.6552734,-0.09765625,0.0244140625,1.223754883
0.272,-141.6015625,222.7783203,697.0214844,-84.04541016,-65.55175781,-4.577636719,0,241.6992188,-0.09460449219,-0.1068115234,1.104736328
0.274,-153.8085938,217.2851563,703.125,-83.67919922,-64.63623047,-2.380371094,0,241.7541504,0.01220703125,-0.07934570313,0.9918212891
0.276,-170.8984375,213.0126953,708.0078125,-83.31298828,-64.08691406,-0.3662109375,0,241.7871094,0.2105712891,-0.03662109375,0.9033203125
0.278,-183.1054688,211.7919922,711.6699219,-83.12988281,-63.17138672,1.46484375,0,241.776123,0.4119873047,-0.01831054688,0.8605957031
0.28,-187.9882813,215.4541016,715.3320313,-82.94677734,-62.07275391,2.746582031,0,241.7871094,0.4852294922,-0.03967285156,0.7904052734
0.282,-186.7675781,217.2851563,715.3320313,-81.84814453,-61.34033203,3.479003906,0,241.7651367,0.5004882813,-0.03662109375,0.7110595703
0.284,-181.8847656,220.9472656,706.7871094,-80.93261719,-60.79101563,3.295898438,0,241.6992188,0.4974365234,-0.01220703125,0.7080078125
0.286,-175.78125,223.9990234,700.6835938,-80.93261719,-60.60791016,2.563476563,0,241.6772461,0.5035400391,-0.01831054688,0.8209228516
0.288,-172.1191406,222.1679688,695.8007813,-81.29882813,-60.79101563,1.098632813,0,241.6113281,0.537109375,0.02136230469,1.016235352
0.29,-167.2363281,225.2197266,692.1386719,-82.03125,-61.15722656,0,0,241.5344238,0.5035400391,-0.01525878906,1.113891602
0.292,-159.9121094,227.0507813,692.1386719,-82.76367188,-61.70654297,-1.46484375,0,241.4685059,0.3448486328,-0.1434326172,1.071166992
0.294,-155.0292969,220.3369141,694.5800781,-83.12988281,-62.62207031,-2.746582031,0,241.4245605,0.1708984375,-0.1190185547,0.9765625
0.296,-145.2636719,219.7265625,699.4628906,-84.22851563,-63.53759766,-3.479003906,0,241.4355469,-0.03967285156,-0.1556396484,0.9521484375
0.298,-136.71875,213.0126953,700.6835938,-84.22851563,-64.63623047,-3.479003906,0,241.4355469,-0.1556396484,-0.1159667969,0.9979248047
0.3,-129.3945313,205.078125,697.0214844,-84.22851563,-65.73486328,-3.479003906,0,241.4355469,-0.2166748047,0.01831054688,1.022338867
0.302,-122.0703125,204.4677734,698.2421875,-83.86230469,-66.46728516,-3.112792969,0,241.4355469,-0.2258300781,0.1220703125,1.016235352
0.304,-106.2011719,211.1816406,698.2421875,-82.94677734,-67.01660156,-2.563476563,0,241.4245605,-0.2777099609,0.08239746094,0.9613037109
0.306,-89.11132813,217.2851563,692.1386719,-82.39746094,-67.19970703,-1.46484375,0,241.4355469,-0.3356933594,0.01831054688,0.9826660156
0.308,-84.22851563,217.8955078,682.3730469,-82.03125,-67.01660156,-1.46484375,0,241.5014648,-0.3784179688,0.03356933594,1.071166992
0.31,-97.65625,210.5712891,681.1523438,-83.12988281,-66.46728516,-2.197265625,0,241.5783691,-0.3509521484,0.09155273438,1.187133789
0.312,-126.953125,206.9091797,690.9179688,-84.41162109,-66.10107422,-3.845214844,0,241.6662598,-0.1525878906,0.1129150391,1.211547852
0.314,-153.8085938,202.0263672,701.9042969,-84.9609375,-65.36865234,-4.577636719,0,241.6992188,0.1037597656,0.1068115234,1.071166992
0.316,-170.8984375,203.8574219,711.6699219,-84.9609375,-64.453125,-4.211425781,0,241.6992188,0.2899169922,0,0.8422851563
0.318,-189.2089844,204.4677734,715.3320313,-84.04541016,-63.90380859,-3.845214844,0,241.7651367,0.3173828125,-0.06408691406,0.7049560547
0.32,-203.8574219,210.5712891,716.5527344,-83.86230469,-63.17138672,-2.746582031,0,241.7871094,0.244140625,-0.1342773438,0.7873535156
0.322,-211.1816406,216.6748047,714.1113281,-83.12988281,-62.80517578,-1.46484375,0,241.7871094,0.2288818359,-0.1159667969,0.9368896484
